IATA Code,Name,Country
XNY,39th Street Ferry,United States
MRD,A Carnevalli,Venezuela
LCG,A Coruna Airport,Spain
YJC,A Coruna Railway Station,Spain
OCH,A L Mangham Jr. Regional,United States
PPB,A. De Barros Airport,Brazil
CPA,A. Tubman,Liberia
GUM,A.B. Won Pat International Airport,Guam
TAB,A.N.R. Robinson International Airport,Trinidad and Tobago
XNR,Aabenraa Bus Station,Denmark
XHJ,Aachen Hbf Railway Station,Germany
AAH,Aachen/Merzbruck,Germany
AYE,AAF Heliport,United States
XOA,Aalbaek Bus Station,Denmark
AAL,Aalborg Airport,Denmark
ZTG,Aalborg Railway Station,Denmark
ZDA,Aarau Railway Station,Switzerland
AAR,Aarhus Airport,Denmark
ZID,Aarhus Bus Station,Denmark
ZJH,Aarhus H Railway Station,Denmark
ZBU,Aarhus Limo,Denmark
JEG,Aasiaat Airport,Greenland
DIR,Aba Tenna D Yilma Airport,Ethiopia
ABD,Abadan Airport,Iran
ABF,Abaiang,Kiribati
ABA,Abakan Airport,Russia
YJI,Abando Railway Station,Spain
ABW,Abau,Papua New Guinea
BGH,Abbaye,Mauritania
YXX,Abbotsford Airport,Canada
AAW,Abbottabad,Pakistan
EAB,Abbse,Yemen
MLG,Abdul Rachman Saleh Airport,Indonesia
AEA,Abemama Atoll,Kiribati
OGO,Abengourou,Ivory Coast
ABZ,Aberdeen International Airport,United Kingdom
ABR,Aberdeen Municipal Airport,United States
ZXA,Aberdeen Railway Station,United Kingdom
AHB,Abha Regional Airport,Saudi Arabia
ABI,Abilene Regional Airport,United States
ABG,Abingdon,Australia
ABO,Aboisso,Ivory Coast
AOD,Abou Deia,Chad
CJS,Abraham Gonzalez International Airport,Mexico
AJS,Abreojos,Mexico
PSR,Abruzzo Airport,Italy
AUH,Abu Dhabi International Airport,United Arab Emirates
AEU,Abu Musa,Iran
AUE,Abu Rudeis,Egypt
ABS,Abu Simbel,Egypt
AEH,Abéché,Chad
ARA,Acadiana Regional,United States
ACD,Acandi,Colombia
ACA,Acapulco International Airport,Mexico
ARF,Acaricuara,Colombia
AGV,Acarigua,Venezuela
MFV,Accomack County,United States
ACS,Achinsk,Russia
SRG,Achmad Yani International Airport,Indonesia
ACU,Achutupo,Panama
ADT,Ada Municipal,United States
AAD,Adado,Somalia
ADK,Adak Island Ns,United States
AOM,Adam Airport,Oman
ADA,Adana Airport,Turkey
UAB,Adana-Incirlik Airbase,Turkey
AEE,Adareil Airport,South Sudan
ADD,Addis Ababa Bole International Airport,Ethiopia
ADS,Addison Airport,United States
ADL,Adelaide Airport,Australia
ZII,Adelaide Ferry Port,Australia
XHX,Adelaide Keswick Railway,Australia
ZDB,Adelboden Bus Station,Switzerland
SOC,Adi Sumarmo International Airport,Indonesia
SLK,Adirondack Airport,United States
JOG,Adisutjipto International Airport,Indonesia
ADF,Adiyaman Airport,Turkey
MAD,Adolfo Suarez Madrid-Barajas Airport,Spain
AZR,Adrar Airport,Algeria
AEG,Aek Godang,Indonesia
XEX,Aerogare,France
JAW,Aeroporto de Araripina,Brazil
JCS,Aeroporto De Crateus Airport,Brazil
MVS,Aeroporto Max Feffer,Brazil
EEA,Aeroporto Regional do Planalto Serrano,Brazil
